SalonID,SalonName,SalonActive,ScriptLock
3,salon-BAR-2,0,1
11,salon-BLK-NEW,0,1
5,salon-BRD-2,0,1
32,salon-BRS-BTH,0,1
33,salon-BRS-FSH,0,1
35,salon-BRS-HEN,0,1
30,salon-BRS-PET,0,1
42,salon-BRS-WHT,0,1
36,salon-CAE,0,1
12,salon-CAR-ELY,0,1
29,salon-CAR-LLN-2,0,1
17,salon-CAR-PEN,0,1
31,salon-CAR-POD,0,1
15,salon-Car-Rum-3,0,1
25,salon-CRH,0,1
8,salon-EBW,0,1
13,salon-LLA-3,0,1
23,salon-MER,0,1
10,salon-NPT-CAR-3,0,1
6,salon-NPT-MLP-4,0,1
28,salon-NPT-RIS,0,1
38,salon-NPT-SPT-2,0,1
1,salon-NTH,0,1
16,salon-PON-3,0,1
22,salon-PTL-2,0,1
9,salon-SWN-CRM,0,1
26,salon-SWN-LLN,0,1
14,salon-SWN-MOR,0,1
34,salon-SWN-PRC,0,1
18,salon-SWN-UPL,0,1
2,salon-TON-2,0,1
37,salon-TRD-2,0,0
40,salon-YAT,0,1
