SalonID,SalonName,ScriptFailed,ScriptLock
3,salon-BAR-2,0,0
11,salon-BLK-NEW,0,0
5,salon-BRD-2,1,0
32,salon-BRS-BTH,0,0
33,salon-BRS-FSH,1,0
35,salon-BRS-HEN,0,0
30,salon-BRS-PET,0,0
42,salon-BRS-WHT,1,1
36,salon-CAE,0,0
12,salon-CAR-ELY,0,0
29,salon-CAR-LLN-2,0,0
17,salon-CAR-PEN,0,0
31,salon-CAR-POD,0,0
15,salon-CAR-RUM-3,0,0
25,salon-CRH,0,0
8,salon-EBW,0,0
13,salon-LLA-3,0,0
23,salon-MER,1,0
10,salon-NPT-CAR-3,0,0
6,salon-NPT-MLP-4,0,0
28,salon-NPT-RIS,0,0
38,salon-NPT-SPT-2,0,0
1,salon-NTH,0,0
16,salon-PON-3,0,0
22,salon-PTL-2,0,0
9,salon-SWN-CRM,0,0
26,salon-SWN-LLN,1,0
14,salon-SWN-MOR,1,0
34,salon-SWN-PRC,0,0
18,salon-SWN-UPL,1,0
2,salon-TON-2,1,0
37,salon-TRD-2,0,0
40,salon-YAT,1,0
